key,1,2,3,4,5,6
99,Moonlight,moonlit,,,,
100,Moonlight,moonlit,,,,
101,Red Moon,portentious,,,,
102,Scarlet,scarlet,,,,
103,Scarlet,scarlet,,,,
104,Scarlet,scarlet,,,,
105,Fair Skies,fair,,,,
106,Fair Skies,fair,,,,
107,Fair Skies,fair,,,,
108,Fair Skies,fair,,,,
109,Flames,fiery,,,,
110,Tsunamis,wet,,,,
111,Cyclones,cyclonic,,,,
112,Geostorms,shakey,,,,
113,True Blue,true blue,,,,
114,True Blue,true blue,,,,
115,True Blue,true blue,,,,
116,Umbral Turbulence,umbrally turbulent,,,,
117,True Blue,true blue,,,,
118,Everlasting Light,bright,,,,
119,Gales,gusty,,,,
120,Termination,terminal,,,,
121,Termination,terminal,,,,
122,Dreams,dreamy,,,,
123,Dreams,dreamy,,,,
124,Dreams,dreamy,,,,
125,Brilliance,brilliant,,,,
126,Brilliance,brilliant,,,,
127,Termination,terminal,,,,
128,Termination,terminal,,,,
129,Everlasting Light,bright,,,,
130,Eruptions,erupting,,,,
131,Termination,terminal,,,,
132,Fair Skies,fair,,,,
133,Umbral Flare,darkly burning,,,,
134,Umbral Duststorms,darkly dusty,,,,
135,Umbral Levin,darkly thunderous,,,,
136,Umbral Tempest,darkly tempestuous,,,,
137,Starshower,calamitous,,,,
138,Delirium,delirium,,,,
139,Clouds,overcast,,,,
140,Clouds,overcast,,,,
141,Irradiance,irradiant,,,,
142,Irradiance,irradiant,,,,
143,Storm Clouds,threatened by rain,,,,
144,Firestorms,hellacious,,,,
145,Spectral Current,spectral,,,,
146,,,,,,
147,Climactic,climactic,,,,
148,Moon Dust,regolithic,,,,
149,Astromagnetic Storms,astromagnetic,,,,
150,Apocalypse,apocalyptic,,,,
151,Polarization,polarized,,,,
152,Polarization,polarized,,,,
153,Polarization,polarized,,,,
154,Polarization,polarized,,,,
155,Polarization,polarized,,,,
156,Projection,projected,,,,
157,Pandæmonium,demonic,,,,
158,Pandæmonium,demonic,,,,
159,Pandæmonium,demonic,,,,
160,Ultimatum,ultimate,,,,
161,Inevitability,inevitable,,,,
162,Transcendence,transcendent,,,,
163,Transcendence,transcendent,,,,
164,Transcendence,transcendent,,,,
165,Transcendence,transcendent,,,,
166,Transcendence,transcendent,,,,
167,Transcendence,transcendent,,,,
168,Transcendence,transcendent,,,,
169,Transcendence,transcendent,,,,
170,Dragonstorms,unnaturally stormy,,,,
171,Vacuity,vacuous,,,,
172,Vacuity,vacuous,,,,
173,Vacuity,vacuous,,,,
174,Dimensional Disruption,extradimensional,,,,
175,Dimensional Disruption,extradimensional,,,,
176,Dimensional Disruption,extradimensional,,,,
177,Pandæmonium,demonic,,,,
178,Pandæmonium,demonic,,,,
179,Lyrical Catharsis,lyrical,,,,
180,Vacuity,vacuous,,,,
181,Liminality,liminal,,,,
182,Liminality,liminal,,,,
183,Projection,projected,,,,
184,Projection,projected,,,,
185,Projection,projected,,,,
186,Projection,projected,,,,
187,Reminiscence,nostalgic,,,,
188,Ominous Clouds,ominous,,,,
189,Projection,projected,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,Electrostatic Dust,electrostatic,,,,
