key,11,12,13,14,93,94,95,96,97,98,99,100,101,102,103,104
46,ev_snipe_clic0f,,,,Identify an Anomaly!,Observe M-017 for an anomaly after<hex:02100103>Alisaie strikes the console with lightning.,,Identify an anomaly in M-017 when it manifests,,,,,,,,Confirm
47,,,,,,,,,,,,,,,,
48,ev_snipe5ct,ev_snipe5_hit0t,ev_snipe5_mis0t,,Fell the Colossi!,Use the plasma cannon to stop the colossi in their tracks.,Objective failed if the colossi nears the Immortal Flame delegate.,Bring down the magitek colossi,,,,,,,,
49,ev_snipe6ct,ev_snipe6_hit0t,ev_snipe6_mis0t,,Find Runningway!,Locate the ever elusive<hex:02100103>Runningway and strike him with<hex:02100103>a ball of mousse flesh.,Do not hit the unassuming Loporrits!,Strike Runningway with a mousse ball,,,,,,,,Throw
50,ev_snipe_clic0f,,,,Find Points of Interest!,"Show the Loporrits the important<hex:02100103>features of this apparatus, or at least, <hex:02100103>the features that <hex:021A020203>seem<hex:021A020103> important...",,Observe the mushroom-like thing,Observe the tanks,Observe the metallic tube,,,,,,Observe
51,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,Sedate the target!,Help Erenville capture his quarry.<hex:02100103>Look for the green bird which<hex:02100103>“caws” and sedate it with the dart.,Objective failed if the wrong bird is sedated.,Hit the right bird with the dart,,,,,,,,Blow
52,ev_snipe_clic0f,,,,Find an Errant Omicron!,The Omicrons should be on standby.<hex:02100103>Search for any that are not.,,Find an Omicron behaving suspiciously,,,,,,,,Observe
53,ev_snipe_clic0f,,,,Examine the Statue!,"Examine the different sections<hex:02100103>of the statue of Thaliak, and learn<hex:02100103>about the history of Sharlayan.",,Examine the statue of Thaliak,,,,,,,,Examine
54,ev_snipe_clic0f,,,,How Many Loporrits?,Try and count the number of Loporrits scurrying about the carrot production station.,,Count the Loporrits,,,,,,,,Observe
55,ev_snipe_clic0f,,,,Survey Horrea Campi!,Use the telescope to search for the local boy.,,Locate the boy,,,,,,,,Observe
56,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,Sedate the Rampaging Creation!,Use the blow dart to quiet the rampaging creature.,,Hit the creature with the blow dart,,,,,,,,Blow
57,ev_snipe_clic0f,,,,Examine Hildibrand Manderville!,Inspect the unconscious body of Inspector Hildibrand and try to determine the cause of his coma.,,Inspect Hildibrand closely,,,,,,,,Inspect
58,ev_snipe_clic0f,,,,Find the Alien Craft!,Locate the unidentified object spotted<hex:02100103>flying over Mare Lamentorum.,,Find the alien craft,,,,,,,,Inspect
59,ev_snipe_clic0f,,,,Search for the Unusual!,Survey the Burning Wall with an<hex:02100103>eye for anything out of place.,,Make an unusual discovery,,,,,,,,Survey
60,ev_snipe_clic0f,,,,Inspect the Float!,Inspect the Hanuhanu's festival<hex:02100103>float for signs of damage.,,Inspect the festival float,,,,,,,,Inspect
61,ev_snipe_clic0f,,,,Inspect the Workpot!,"Inspect the Workpot, and deduce<hex:02100103>what Kaahe might need to improve<hex:02100103>his working conditions.",,Inspect the interior of the Workpot,,,,,,,,Inspect
62,ev_snipe_clic0f,,,,Find the Radiant!,Locate the Radiant Host soldier who<hex:02100103>followed after the Justiciar.,,Find the Radiant,,,,,,,,Observe
63,,,,,,,,,,,,,,,,
64,ev_snipe_clic0f,,,,Inspect the Fallen Soldier!,Inspect Zoraal Ja's soldier to try<hex:02100103>and determine its origins.,,Inspect the fallen soldier,,,,,,,,Inspect
65,ev_snipe_clic0f,,,,Inspect the Ceruleum Refinery!,Check the equipment for potential issues.,,Inspect the ceruleum refinery,,,,,,,,Inspect
66,ev_snipe_clic0f,,,,Study the Statue of Blessed Siblings!,"Examine the different sections<hex:02100103>of the blessed siblings statue,<hex:02100103>and learn more about Mamook.",,Examine the statue of blessed siblings.,,,,,,,,Examine
