key,Column 3
137,"Eh.
I've seen better."
138,"I cannot sleep a wink
with that snoring!"
139,<snore>
140,"I cannot steady
my hands!"
141,"A tad higher... Or
perhaps a tad lower?"
142,"Relax... And do not
forget to breathe."
143,"Wife tells me I'm
the best she's had."
144,"Funny. She tells me
the same. Gahaha!"
145,"Haven't we trained
enough for the day?"
146,<pant> <pant>
147,"You think the enemy
will allow you rest!?"
148,"Yes, sir!"
149,"Yes, sir!"
150,"Yes, ma'am!
Ah! Sir!"
151,"You lot couldn't hit
the side of that log!"
152,"Is there naught you
can do to help!?"
153,Kweeeh!
154,"A hundred more until
you have it right!"
155,"That thrust won't
pierce the feathers
on an Ixal's arse!"
156,"My dearest
Pauline... Zzz......"
157,"It's them chigoes,
I tell you!"
158,"What would you
have me do then?"
159,Kweh!
160,"Then we agree
to disagree."
161,"There, there."
162,"Another bell and
we'll be in Gridania!"
163,"And then
we'll be rich!"
164,"That's if we make
it in one piece..."
165,"That's what you
said <Emphasis>last</Emphasis> night."
166,"Ugh... I've had my
last mead. I swear it."
167,"The spirits will
never allow it!"
168,"Then we shall meet
the same fate..."
169,"Tread lightly, outsider.
I am watching you."
170,"Gods! What is that
approaching!?"
171,"Join us in purging
the land of evil?"
172,"I think I found us
the perfect job!"
173,"Don't tell me...
Squirrels again?"
174,"I care not one whit for
your rules! I demand a room!"
175,"Coming right up, love!"
176,"The tallest mug of
your strongest ale!"
177,"Half a bell of rest, then
it's back to the barracks."
178,But I just sat down!
179,"Ask an adamantoise.
I have none to spare."
180,Just one egg is all I ask!
181,"Uh, Lady Heinana,
were we not in a hurry?"
182,"If there were only a way
to get them on their backs."
183,"I will inquire with
the Fane about a
spell of levitation."
184,"One can never be too
careful around tortoises."
185,Please. I can cut no more!
186,"Very good. But what
of the delivery's status?"
187,"Ixal were sighted
near Eugenia's Spire."
188,"You'd best let
your patrons know."
189,Master...
190,"The fortress to the
north!? Are you mad?"
191,"We won't <Emphasis>enter</Emphasis> it;
merely have a look."
192,"Can't a man sleep off
his mead in peace?"
193,"Oh! I'm sorry, love. Were
you saying something?"
194,"I'll...uh, have some water."
195,"Our specials today are
eel, eft, snail, and toad."
196,"And I saw this <Emphasis>outsider</Emphasis>
make off with the purse."
197,"But that isn't true!
You must believe me!"
198,"Not two hours out of
Gridania, and look at you!"
199,"Sir, I'm ready for another
twenty malms, sir!"
200,"I had to chase a few of
the monsters away earlier."
201,"These beans are covered
in opo-opo droppings!"
202,"You won't believe what
I have planned for today."
203,"<sigh>
Here we go again."
204,"Wait, let me guess.
Another trip to the ruins?"
205,"Damned vandals!
I'll never get this off!"
206,"Nothin' like a warm ale
after a day of maimin'!"
207,"See? I thought we
was 'ere to drink!"
208,"You wouldn't last
thirty heartbeats, dog."
209,"Decisions, decisions..."
210,"Come, fight me on the
bloodsands like a man."
211,"Cut the ropes to the
bridge, send the beast
plummeting, save the
princess."
212,"Sounds simple enough.
What's in it for us?"
213,"Lookin' to borrow
some coin, maybe?"
214,"If only my
shift would end..."
215,"And what, exactly,
does action smell like?"
216,You ready yet?
217,"Just let me get a
good handle on her."
218,"I'll get it right
next time, I swear!"
219,"Left! Right!
Keep moving!"
220,Drawer 473.
221,"This is hardly
what I'd call fair!"
222,"I have an idea for a
two-wheeled cart you
pedal with your legs."
223,"One day, it'll be my
likeness on that wall!"
224,"Why wouldn't you
just ride a chocobo?"
225,"That last shipment
was full of impurities."
226,"Took down three
opponents today, I did."
227,"And not a single
scratch? Incredible!"
228,"How would you like to
take down one more...?"
229,"Calamities...
Cataclysms...
Ah, yes, catastrophes!"
230,"Kneel before Thal and
pray for safe passage
into the afterlife."
231,"May the next life bring
me happiness...and gil."
232,Money is no object.
233,"We wish to secure our
place in Thal's realm."
234,"Will you lodge a com-
plaint with the guild?"
235,Kweh!
236,"Now let's see if we
can't get you cleaned up."
237,Today's matches are set!
238,"Thrill awaits you
on the bloodsands!"
239,"Georg Galleongut!
He's my favorite!"
240,"One misstep and it's to
Stonesthrow with you!"
241,"In half a bell, she'll take
her break, and then I'll─"
242,"Your wife will
simply adore this!"
243,"I'll take a sack
of sunset wheat."
244,"Making some bread
today? Or maybe ale?"
245,"Not if she learns
how much it costs..."
246,"There is nothing more
beautiful than a woman
with diamonds in her
eyes <Emphasis>and</Emphasis> on her hands!"
247,"I've the finest gems
in all this fine town!"
248,"Now watch
and be amazed!"
249,Look at her go!
250,I could do better...
251,"I fell for a man
with no gil in his hand.♪"
252,"Now, how do I get me
one of those tails...?"
253,"And I only need dine
with him at his estate!"
254,"He'll truly buy you
any necklace you want?"
255,"Hey, you! Over here!"
256,"I just couldn't decide
between the red or the
blue...so I bought both!"
257,"For him, 200,000 gil! But
for you, my friend, only 25!"
258,"Any time now, dearest!"
259,"So which one did
you end up choosing?"
260,"I simply <Emphasis>must</Emphasis>
have this vase!"
261,"Now where did I
put my lunch?"
262,"You will watch your
tongue whilst in the
Royal Promenade."
263,"Lord Lolorito is naught
but a dirty old pinchgil!"
264,"A Fifth Astral Era
copy of the <Emphasis>Enchiridion</Emphasis>!"
265,"Lower your voice! One
of his birds might hear!"
266,"You won't find another
outside the Holy See."
267,"But your children
need their mother!"
268,"They say it was the
Flame General who
slew the mighty dragon."
269,"He is a hero
amongst heroes."
270,"You have excellent
taste, madam!"
271,"Why, thank you!"
272,"Will this take
very much longer?"
273,"We carry any weapon
you can imagine, and
more that you can't!"
274,"Custom embroidery
on all purchases!"
275,"One size fits all or
half your money back!"
276,"What if we increased
it to four tarantulas?"
277,"By the gods! That
would kill an aurochs!"
278,"I see! Two eyes of newt
and <Emphasis>three</Emphasis> toes of frog!"
279,"You aren't my replace-
ment, are you? Damn..."
280,"Don't ever turn your
back on a beastie, hear?"
281,"Yes, but we must first
remove the stagnation."
282,"I wouldn't put
it past this lot."
283,"The city's alive
once again!"
284,All hail the sultana!
285,And I said no!
286,"I want another
honey cake!"
287,"You don't think some-
one stole it, do you?"
288,  ...
289,Plaza secure!
290,"Where do you
want these, ma'am?"
291,"Start any trouble, and
I'll see you rot in the
oubliettes for eternity."
292,"If it's gil you want,
come stick your hands
in me pockets!"
293,"Shake it, ladies!"
294,"Shall we be going, then?"
295,As you command.
296,"A thousand apologies, sir."
297,You watch yourself now!
298,"BlOoD! MaImInG! FuN
fOr YoUnG☆aNd☆OlD!"
299,"Just toss it with
the rest of the rubbish."
300,"I kill you and
make you die!"
301,"If I don't die of
laughter first!"
302,"Don't you go bringing
any of that rabble in here."
303,"It's best you keep
one eye on your purse."
304,"A hundred gil
on the Hellsguard!"
305,未使用：荒：会話00104
306,Ahahahaha!
307,"You damn near pulled
me arm straight out of
its socket!"
308,Mwahahaha!
309,Mwaha!
310,"Do not take your
eyes off your victim!"
311,"There is but one thing
you must remember
when channeling the dark!"
312,"This'll teach that
whoreson to cozen me!"
313,"I could have sworn I
set my rod down here."
314,"I heard they're plotting
an attempt on the
sultana's life!"
315,"What thaumaturgy
destroys..."
316,...thaumaturgy creates!
317,"They'll never know
what hit them! Tee hee!"
318,"I'll cast the Fire spell
once they've retired
to their chambers!"
319,Hyah! Hyah! Hyah!
320,"Removing the hunt from
battle... How brutish."
321,"But I followed the
designs to the letter..."
322,"Ain't naught fer ye here
but a knife in the gut."
323,"No. None of these will
do. They're all too old."
324,早く行きましょう…
325,Alms for the poor!
326,"Please, <If(PlayerParameter(4))>milady<Else/>milord</If>.
I cannot even walk."
327,"Distant worlds together,
miracles from realms
beyond...♪"
328,"One, and two, and
three, and four, and..."
329,"What <Emphasis>ever</Emphasis> are
you implying!?"
330,"Might it feel tight
around the middle?"
331,"I had it embroidered
with Thavnairian silk."
332,"Oh, how wonderful!"
333,"The Weavers' Guild is
this way, <If(PlayerParameter(4))>ma'am<Else/>sir</If>."
334,"You 'old your drink
'bout as good as a Lala."
335,Did I...win...?
336,"Won't know what I'm
lookin' for till I find it."
337,"Do you even know
what we're looking for?"
338,"I's a sack o' coin with
yer name on it, love."
339,"Jusslemme die
herein peece... Ulp!"
340,What about gold chains?
341,"I'll never finish
this, will I?"
342,"Would you mind
stepping back?"
343,WeLcOmmmm★※～
344,"Keep your shields up!
Again!"
345,"This is the entrance
to the hypogeum."
346,"I should have joined
the Weavers' Guild..."
347,"Did you even
<Emphasis>try</Emphasis> to hit him!?"
348,"We have seats so close,
you can smell the action!"
349,"So this is the world-
famous Coliseum..."
350,"Bubble, bubble, toil
and...and...and bubble?"
351,"Omit even one of the
ingredients, and the
results would be fatal."
352,"But there must
be a way! There must!"
353,"No manner of alchemy
can bring her back, Father."
354,"When, exactly, did
these episodes begin?"
355,"It's my son. He's been
having terrible night fits."
356,"You're surely not
serious...are you!?"
357,"If I cannot talk my way
into his heart, I'll poison
my way into it!"
358,"What was it we were
searching for again?"
359,"What business would
Her Grace have
with the likes of you?"
360,"If you ask me, I say
to the hells with them!"
361,"Might ye spare a poor
man some coin, <If(PlayerParameter(4))>miss<Else/>sir</If>?"
362,"What ever do you have
in that pot? It smells
absolutely heavenly!"
363,ざまぁみろ！
364,あ？　お前はすっこんでろ！
365,テメーは関係ねぇんだよ
366,未使用
367,ハッ、隊長殿！
368,"I hear ore yields have
increased twofold...but
so have miner deaths."
369,"Times are harsh.
A man'll work twenty
bells straight if it
means food in his belly."
370,"Perhaps. If they had
a little more <Emphasis>incentive</Emphasis>."
371,未使用
372,"Can your men not
move any faster?"
373,未使用
374,"Was it the markets? Or
the Goldsmiths' Guild?
Or maybe Vesper Bay?"
375,"7...8...9... Thal's balls!
It must be those
damn rat-thieves again!"
376,未使用
377,"Another adventurer?
You may pass."
378,未使用
379,"I wonder if they'd
notice if I slipped one
of these under my tunic."
380,"Enemies on the
western front!"
381,"Drink up, my dears!"
382,"And so I sliced it off
and tossed it in the lake!"
383,"All's clear on
the western front."
384,"Jussone more cupp,
littlemann! Hic!"
385,"Get off your drunken
arse and make ready!"
386,"What do you say,
friend? Ten gil a pull!"
387,"Some of Stonesthrow's
extra-special stew, sir!"
388,"If it needs killin', I'm yer
man. Fer a price, that is."
389,"You got any work? I'm
quite handy with an axe."
390,Just leave me be...
391,"Heh heh. He won't
be needin' this."
392,未使用
393,Zzz......
394,So...hungry...
395,I <Emphasis>wasn't</Emphasis> asking you...
396,"Were there no better
seats? I can't see a thing!"
397,"Hah! You couldn't afford
me, you poxy-arsed fool."
398,"WeLcOmE★tO★tHe
GoLdSmItHs'★gUiLd!"
399,"Don't these contrap-
tions ever blink!?"
400,"The Hustings Strip
lies above."
401,"What other choice
do we have?"
402,"The East Aldenard
Trading Company!? Never!"
403,"You must put past
differences aside."
404,"And she ran out of the
lord's chambers wearing
naught but her knickers!"
405,"That new maidservant!?
No! Truly?"
406,"I cannot return home.
Not when I'm so close!"
407,"Be careful not to over-
stimulate the reagents!"
408,"Can we not
use this water?"
409,But it'll cost you!
410,"Might be we
could find you one..."
411,"I'm looking to buy a
ruby...a <Emphasis>large</Emphasis> ruby."
412,"It's your turn to
make the rounds!"
413,"Twelve be good! No
man deserves <Emphasis>that</Emphasis> fate."
414,This ale reeks of rat!
415,"Why don't we wait out
here a moment longer?"
416,"Have mercy, <If(PlayerParameter(4))>milady<Else/>milord</If>.
Some somnus's all I ask."
417,<cough> <cough>
418,"Have a look, good <If(PlayerParameter(4))>lady<Else/>sir</If>!
You won't regret it!"
419,"Twenty gil, and I'll
do whatever you want."
420,未使用
421,"And be some fat
merchant's slave?
I'd rather starve!"
422,"I hear patrons pay good
coin for live-in maids."
423,未使用
424,"Mind the tracks, lest
you be crushed by the
iron beast."
425,"Where'd you want this
again? I haven't all day."
426,"Please! My son...he
hasn't eaten in two days."
427,未使用
428,"Tessme s'pply reggarly
t'ssure quality, I do. Hic!"
429,"Me thigh muscles are
right sore. How 'bout
ye help loosen 'em up?"
430,"We've everything you
didn't think you needed!"
431,"Hm? Can I, uh, interest
you in a... Oh, never mind..."
432,未使用
433,"How about I help loosen
them teeth from that
filthy gob o' yours?"
434,"Welcome to Ul'dah.
I hope you brought a
fat purse."
435,"Don't try anything, or I'll
skin ye and throw the
rest in our cookpots."
436,<grunt>
437,"Botch the synthesis
again, did you?"
438,"Is it skins you seek?
Or perhaps silks?"
439,"Four found dead on
Pearl Lane! Accident or
foul play!? Read it here!"
440,"I told you, I'm
<Emphasis>not</Emphasis> your mummy!"
441,"Mummy, I'm tired!"
442,This heat is unbearable!
443,"Bring me your best
bottle of sour red!"
444,"And a man cannot
work with his throat dry."
445,"What'd I ever do to get
stuck with slag duty?"
446,"Got caught fondlin' the
foreman's daughter is
what you did."
447,未使用
448,"Seven hells! You think
the boys could've filled
this crate any fuller!?"
449,"Yes, but what of its
purity? I won't be had twice."
450,"'Tis the largest chunk of
silver ore you've seen."
451,"(If you call river water
and rat pelts “stew.”)"
452,未使用：荒：会話00251
453,未使用
454,"And I took off its head
with one fell swing!"
455,"Hahaha! I'd hate
to be that squirrel."
456,未使用
457,"My turn!?
I just got back!"
458,未使用
459,"Only 5,000 more and
you'll break my record!"
460,"I ain't been so hungry
since...since yesterday!"
461,未使用
462,"Die, fiery fiend!"
463,"If only all your victims
were this...stationary."
464,"I came as quickly
as I could, sir!"
465,"I don't pay you to rest,
boy! Back on your feet!"
466,"I hear there's good coin
to be made selling relics
from the Footfalls."
467,"But they say that
place is cursed!"
468,"If you don't know where
you are, you shouldn't
be here, traveler."
469,Move along.
470,I say we go east!
471,I say we go west!
472,未使用
473,"Stand clear of the gate,
or you'll find yourself
under a chocobo's talons."
474,"One day, Ul'dah.
One day."
475,"Follow the Sunway
south to the Silver
Bazaar, north to Horizon."
476,Everything must go!
477,"Four coffers, each
containing 63 ponzes
of ore... Carry the one..."
478,"Don't happen to have
a hot pie on you, do you?"
479,"The Royal Sunway
is clear!"
480,未使用480
481,未使用481
482,未使用482
483,"I do not recall ordering
this many Lalafellin lentils!"
484,"Prices won't be this
low again until the
Eighth Astral Era!"
485,ホントかよ？
486,未使用486
487,未使用487
488,今です！　今出ました！　
489,未使用489
490,"I shouldn't have had that
sixth bottle of sour red!"
491,All appears to be in order.
492,未使用492
493,未使用493
494,"I spied the old miller
taking down his tent."
495,"He'll be the third to
leave in as many days!"
496,Nothin' fer sale here.
497,未使用：荒：会話00296
498,…店はやってないぜ
499,未使用：荒：会話00298
500,未使用：荒：会話00299
501,未使用：荒：会話00300
502,"Take me, but
leave the lunches!"
503,Me gut...
504,<pant> <pant>
505,"The docks... You must...
secure the... <cough>"
506,"Perhaps this isn't the
best place to hide..."
507,Protect the <Emphasis>Victory</Emphasis>!
508,P-P-Pirates!
509,They're all yours!
510,"Go on, then! Knock
some sense into <Emphasis>them</Emphasis>!"
511,Enough is never enough.
512,未使用：海：会話00011
513,未使用：海：会話00012
514,未使用：海：会話00013
515,"See that it
gets done, then."
516,未使用：海：会話00015
517,未使用：海：会話00016
518,未使用：海：会話00017
519,"Ye try spittin' that bilge
before the guildmaster."
520,未使用：海：会話00019
521,"Come summer, I'll be
runnin' these here docks."
522,"You chose the
right man for the job!"
523,未使用：海：会話00022
524,未使用：海：会話00023
525,未使用：海：会話00024
526,未使用：海：会話00025
527,"That'll be a holt's worth
of lumber down there."
528,未使用：海：会話00027
529,未使用：海：会話00028
530,"Take care to stand
clear of the edge."
531,未使用：海：会話00030
532,未使用：海：会話00031
533,未使用：海：会話00032
534,未使用：海：会話00033
535,"Ah, the smell of the sea!"
536,"Perhaps if you stopped
yapping and helped me
look, we'd find the man."
537,"Lookin' for work? The
offices are further down."
538,未使用：海：会話00037
539,"Now <Emphasis>that's</Emphasis> a
thing of beauty."
540,"And what would you
know about beauty?"
541,未使用：海：会話00040
542,未使用：海：会話00041
543,未使用：海：会話00042
544,未使用：海：会話00043
545,"A few more days in the
sun and they'll be ready."
546,Blasted rats!
547,"Been nibblin' on yer
arse again, have they?"
548,未使用：海：会話00047
549,"Oi! Where'd you
want these nails, lads?"
550,"Then ye'll jus' 'ave to
knock some into 'im!"
551,"That new hand hasn't
a single wit about him!"
552,"Aye aye, Yer Highness."
553,"Take them sacks to
the storehouse. And
stop starin' at me arse."
554,"Get your fresh fruit!
Keep the scurvy at bay!"
555,"Come and have a
taste of Aleport's finest!"
556,It'll grow back eventually.
557,"The flames gone singed
every last hair on me head!"
558,"Ye'd reckon thirty crates
o' tar'd be more 'an enough."
559,"Where in the seven
hells is my damn ship!?"
560,"Shut yer gob and
move that arse."
561,未使用：海：会話00060
562,未使用：海：会話00061
563,"Someone should tell
that poor Sea Wolf."
564,"The Drydocks are
closed for repairs today."
565,"I'm tired of repairin'
leaky galleys all day."
566,"Aye! When do we start
workin' on the <Emphasis>Victory</Emphasis>?"
567,"Don't let Mimidoa
hear you say that!"
568,未使用：海：会話00067
569,未使用：海：会話00068
570,未使用：海：会話00069
571,未使用：海：会話00070
572,"I have me a son.
Isaac's his name."
573,"I swear if he
touches me again,
I'll cut off his hand!"
574,"That's not all what
deserves a cuttin'!"
575,"The damn
bastard's late again."
576,"Or, just early for
the morrow's work."
577,"What ye <Emphasis>needs</Emphasis> is
to lay off the ale."
578,"I needs me a ship so
I might see the world."
579,未使用：海：会話00078
580,未使用：海：会話00079
581,未使用：海：会話00080
582,"Sure it wasn't just
your reflection?"
583,Ahahahaha!
584,"I saw a Sahagin right
over there. I swear it!"
585,未使用：海：会話00084
586,"I suppose this'll
have to do for now."
587,未使用：海：会話00086
588,未使用：海：会話00087
589,未使用：海：会話00088
590,未使用：海：会話00089
591,未使用：海：会話00090
592,未使用：海：会話00091
593,Out o' me way.
594,未使用：海：会話00093
595,未使用：海：会話00094
596,未使用：海：会話00095
597,未使用：海：会話00096
598,未使用：海：会話00097
599,未使用：海：会話00098
600,未使用：海：会話00099
601,未使用：海：会話00100
602,未使用：海：会話00101
603,未使用：海：会話00102
604,未使用：海：会話00103
605,未使用：海：会話00104
606,"This here crate reeks
of rotting fish and old tar."
607,"Put yer back into it,
ye nine-stone ninny! "
608,"Leviathan's eye! What'd
they fill this bugger with!?"
609,"Stop your nattering.
They <Emphasis>all</Emphasis> do!"
610,未使用：海：会話00109
611,未使用：海：会話00110
612,未使用：海：会話00111
613,"Can't you see
I'm workin'?"
614,Nothin's bitin'...
615,This wine tastes of piss!
616,"That would explain
your breath!"
617,"Wha? Me gil's not
good enough fer ye?"
618,"It would be...if
you <Emphasis>had</Emphasis> any!"
619,Then make it so.
620,"I cannot say. But
that won't stop me
from trying."
621,Is it possible?
622,未使用622
623,"Wavin' yer hand like
that ain't gonna make
it any less hot."
624,未使用624
625,未使用625
626,Nothing or double!
627,"You play cards about as
well as you comb your hair."
628,"You didn't forget the
leves again, did you?"
629,"This gate is to
remain closed."
630,"Where ever did
you find that tunic?"
631,"Sunsilk, of course!"
632,"Pah! I saw you swipe it
from a stall in Stonesthrow!"
633,"Now where did he
hide that letter!?"
634,未使用634
635,Where else can we go?
636,"This place is deader
than a lichyard."
637,"They're all so stunning.
I simply cannot decide!"
638,未使用638
639,"Keep those filthy gropers
off the merchandise, you."
640,未使用640
641,Just a little closer...
642,"And doing so could
improve productivity
threefold!"
643,"I'm to see no harm
comes to his lordship as
he inspects the hammers."
644,You'd best leave...now.
645,"And when the Brass
Blade is turned away─"
646,Shhh! Keep it down!
647,"Someone make the
pounding stop!"
648,"Well, maybe if you hadn't
downed that last bottle..."
649,未使用649
650,"Impossible! I calibrated
them myself this morning!"
651,未使用651
652,"I believe the gears are
showing signs of slowing."
653,"Back to work, or I'll
dock another hundred gil!"
654,"Sir! Right away, sir!"
655,"A wanderin' minstrel
gave me this here pipe."
656,"What were if I waved
it right crackin', like?"
657,"Ye said I'd be gettin'
fifty fer each load!"
658,"These feel lighter
than they should..."
659,"Where the hells is that
rattling coming from?"
660,"Move yer arse, so I can
set this bugger down."
661,Ach! Me back!
662,"That was last week.
Today, I can offer you six."
663,"Thirty crates, delivered
by dawn. Just as ordered."
664,未使用664
665,"No, no! This will not do!
The wheels will have to
be replaced forthwith!"
666,未使用666
667,未使用667
668,"And the miner said, “But
I don't have a daughter!”"
669,"No.
Still don't get it."
670,"Did I just <Emphasis>see</Emphasis> what
I thought I saw?"
671,"You'll not get a gil more
than what was agreed upon!"
672,"I got you here a full bell
early. I'm thinkin' that be
worth another hundred."
673,未使用673
674,未使用674
675,未使用：荒：会話00363
676,"Two hundred and
fifty-two, you half-wit!"
677,"I run a business, not an
almshouse. If it is coin
you seek, get a job."
678,"I should've learned to
play the mandolin..."
679,<snore>
680,未使用
681,"You heard what became
of the last party!"
682,"Aye, but what choice
do we have?"
683,"The Concern decides
who may pass."
684,"You don't want
to go back there."
685,"I'm thinking of courting
that assessor. The one
who ties her hair up, like."
686,一ケタ間違えちゃったかも…
687,"Zzz... Zzz... Zzz...
Zzz... Wark? Zzz..."
688,異常なし…たぶん
689,"There are no beasts
trailing you, are there?"
690,安いよ、安いよ！
691,買い逃すと損するよ！
692,"I cannot allow you to
leave until your cargo
has been inspected."
693,焦るなって
694,"Mind your step, adventurer."
695,Never heard of the beast.
696,"Thal's balls, this is
heavier than an aurochs!"
697,いいじゃん、ケチ～！
698,お前の心がけ次第だ
699,で、ブツはいつ届くんだ？
700,愚痴は掘った穴に叫べよ
701,"Copperbell's done
for, I tell ye."
702,"If I told you once, I've
told you a thousand times!"
703,未使用
704,Forgive us!
705,"My apologies, Master."
706,"Touch anything, and
Bloody Catapult here
will tear your arms off."
707,未使用
708,"Sign there...there...there...
and there......oh, and there."
709,"The assessors' office
lies in the rear."
710,未使用710
711,"Perhaps a coin or two
could speed things up."
712,未使用
713,"Get the birds out
of here! Now!"
714,未使用
715,Easy. I'm almost done.
716,未使用
717,未使用
718,未使用
719,給料分は守ってやるか
720,"Never again will I assay
the ride from Gridania
in a single turn of the sun."
721,"I've my eye on each
and every one of this
unsavory lot!"
722,代表者が中に入れ
723,"Come over here and say
that, you baseborn dog!"
724,クェッ？
725,さて、そろそろ出発か
726,いいチョコボだなあ
727,未使用
728,"Five...six...seven? Why,
that double-crossing rat!"
729,"Two days!? We
cannot wait that long!"
730,"I swear that bloody sun's
hotter since the Calamity."
731,未使用710
732,"Sleeping!? I was merely
shielding my eyes from
the sun!"
733,"Yalik senleh...ahamat
zah... Or is it jah...?"
734,"Quickly now, lads!
We haven't all day."
735,"The entrance must
be here somewhere!"
736,"Could we not simply hire
a few urchins from
Stonesthrow to do this?"
737,"Hand me that lan─
Oh, another adventurer..."
738,"I should have left my
robe back at the Ossuary."
739,"I see naught
but a pile o' rubble. "
740,I hope you like orobon!
741,"Only if I can
have the eyes!"
742,"The Spinner pulls, but
the Wanderer pushes away."
743,"A barrel full o' bream;
a pocket full o' naught."
744,"These should fetch a
fine price at the markets."
745,"Where's my meal, woman!?"
746,"Get it your Twelve-
damned self, you lazy
son of a mutt."
747,"Don't let your da hear
you talk that nonsense!"
748,"When I grow up, I want
to be a cully-narian!"
749,"<Emphasis>One</Emphasis> lousy night in the
salting house, and me
whole body reeks o' cod!"
750,"Have any ale on you?
No? Then bugger off."
751,"Not <Emphasis>another</Emphasis> turn of
the sun in this piss'ole..."
752,The winds just ain't right.
753,"Mimilo's husband fell
asleep in the salting
house last night..."
754,未使用
755,未使用
756,"Gah hah hah! <choke>
<cough> Hah hah!"
